Year,Month,NCPI_Index,NCPI-Headline_Inflation,NCPI-Core_Inflation
2022,1,131.7,16.8,12.9
2022,2,132.9,17.5,14.1
2022,3,137.3,21.5,17.3
2022,4,151.7,33.8,27.9
2022,5,166.3,45.3,37.7
2022,6,183.5,58.9,49.3
2022,7,193.1,66.7,57.3
2022,8,197.7,70.2,60.5
2022,9,201.9,73.7,64.1
2022,10,201.6,70.6,62.4
2022,11,200.3,65,60.1
2022,12,200.4,59.2,57.5
2023,1,201.8,53.2,52
2023,2,204.1,53.6,50.1
2023,3,201.8,49.2,44.2
2023,4,202.7,33.6,31.8
2023,5,203.1,22.1,21.6
2023,6,203.3,10.8,11.3
2023,7,201.9,4.6,6.3
2023,8,201.9,2.1,4.1
2023,9,203.5,0.8,1.7
2023,10,203.6,1,0.6
2023,11,206,2.8,0.8
2023,12,208.8,4.2,0.9
2024,1,215,6.5,2.2
2024,2,214.5,5.1,2.7
2024,3,210,2.5,3.4
2024,4,208.2,2.7,3
2024,5,206.3,1.6,3.1
2024,6,208.1,2.4,3.9
2024,7,206.9,2.5,3
2024,8,204.1,1.1,2.3
2024,9,203.1,-0.2,1.9
2024,10,202.1,-0.7,1.7
2024,11,202.4,-1.7,1.5
2024,12,204.6,-2,1.3
2025,1,206.4,-4,-0.2
2025,2,206.2,-3.9,-0.6
2025,3,206,-1.9,-0.6
2025,4,206.5,-0.8,-0.1
