BRANCHID,BufferAmount
1,2823096.965154313
2,16485912.357502826
3,79121.63023688774
4,704952.4590113609
5,241967.0077151395
6,36715.12128516706
7,79113.01616458036
8,98590.67505267129
9,265833.17933888896
10,1417871.6666807528
11,36370.414581769
12,48318.1122345718
13,151931.9665506741
14,275189.16917865805
15,127745.84054436225
16,48786.11421496468
17,48479.81960702844
18,345718.94479204953
19,181058.65328408478
20,31172.14521038252
21,100172.61960167436
22,94852.4953469804
23,53654.54257377839
24,48567.469191538716
25,175047.1799689851
26,234000.88875793654
27,39620.32034107799
28,70624.34497798902
29,70179.12070919237
30,70172.60143052205
31,75140.29769522496
32,72162.02895497996
33,87180.32182817123
34,26737.0140976856
35,86083.80874788588
36,109496.63348077459
37,192368.4434584243
38,45396.69758093133
39,33022.76608574367
40,26228.77684248248
41,108419.43349500334
42,313245.9687966417
43,43950.06033967542
44,33603.74144918384
45,32963.903276015626
46,49632.1970070511
47,23901.566452884308
48,22772.106272487294
49,39194.423448920104
50,21450.379917339113
51,46091.64881322508
52,38532.479162227915
53,107004.33290187006
54,56877.56014704951
55,35867.940292721425
56,39936.818732683736
57,84538.56178667265
58,81181.81062906941
59,31445.35581355215
60,250774.43719658852
61,58821.744070355126
62,49229.453960640676
63,56390.30818076131
64,51661.970580954745
65,52292.619813316865
66,23349.07934134346
67,1325010.2777768748
68,69322.98412263425
69,34348.899647780294
70,22438.246262218054
71,60844.27131600752
72,208826.39987594483
73,154937.29113947443
74,26582.235740999422
75,98522.83453859294
76,13480.931037393953
77,11501.813694197408
78,26054.62460202257
79,45144.387291927305
80,26461.535996685547
81,98825.39899946077
82,24295.04475470496
83,98145.39844710524
84,32585.628601723653
85,21351.56892852069
86,26078.851874251646
87,34028.169305778385
88,27959.026562372033
89,59577.48555319477
90,322786.2003625937
91,22308.80635279901
92,94838.7829823995
93,217851.07313123456
94,81107.6499599518
95,52136.3254354895
96,17326.49370859427
97,22072.03180214676
98,21705.684555576692
99,109279.99349285281
100,151726.2361081252
101,30494.503508172136
102,136541.7841692785
103,79271.10952403283
104,93983.52725893041
105,29401.45489234612
106,20827.806322199507
107,24947.992565129833
108,16349.200916405767
109,30200.15718222709
110,33633.149677768
111,29359.838169240677
112,48146.19340122299
113,30998.856385385243
114,49751.023400297665
115,51349.863907272076
116,29159.646754563684
117,22774.625008921186
118,36858.17266687374
119,14917.762399018246
120,34307.09725926376
121,34083.021979948506
122,116064.08373348566
123,114366.92262465022
124,151494.01643741276
126,35512.61954045613
127,102772.55026473911
128,150980.79433996146
129,37974.49181490493
130,13852.312458879653
149,150988.2805019177
150,37699.45330343376
151,14658.9754271526
152,24731.592151107972
153,33802.9569914747
154,27485.95286895782
155,19051.888418019837
173,9085.22563545465
174,26521.07328907191
175,39007.0674290115
176,11032.476399125422
177,26879.62104271931
178,45891.89289981662
179,16066.585442840207
180,19073.31154365137
181,19578.46914892606
182,23533.597609039327
183,22759.268212436607
184,12038.26630872102
185,15672.13130185287
186,20029.925722059066
187,21993.56088784983
188,20957.68015516761
189,18902.1225134911
190,7242.078377395553
191,11588.450550346071
192,6492.160229374352
193,23164.76229238836
194,13105.998137678047
195,13142.69921072339
196,13059.001703888545
197,27366.706466148724
198,7021.845841014772
199,18314.566700716172
200,6904.534550957403
201,29403.38272213058
202,6796.390963667538
203,7900.542173445861
204,8558.989402426
205,11530.775172967253
206,8399.094329340534
207,22824.34638724129
208,9210.75337613482
209,18196.380540986545
210,71963.35507598649
211,12450.907632047169
212,15435.311376629104
213,33570.5064153519
214,25880.622331621704
215,19482.230357728196
216,18810.50326992058
500,73379.98809037455
501,21278.738041531105
502,55865.09767745845
503,30246.46865088809
504,18017.79506356362
505,20740.85466368254
506,34376.99981696865
507,21282.02012762384
508,37223.51512473989
509,23381.128596629664
510,36418.3447311255
512,36149.18954435286
514,72021.35059914128
515,18797.695641229202
516,18588.929847334482
518,24336.884440292462
519,25348.774828952904
520,23868.972813904467
522,28565.12340034711
523,34898.8379342907
524,53872.09414745327
525,39940.923714001925
526,29911.339745070127
527,98963.46834032438
528,45792.200752911886
529,9928.437687364041
530,20928.23109386027
531,29609.124011060034
532,26091.934538818445
533,35943.706989933824
534,26959.544791798286
535,164831.07483386502
536,25556.509011778075
537,22907.093106383134
538,88723.45535022597
541,21147.93941896125
