DAY,DATE,HOLIDAY
Friday,"Jan 14, 2022",Tamil Thai Pongal Day
Monday,"Jan 17, 2022",Duruthu Full Moon Poya Day
Friday,"Feb 04, 2022",National Day
Wednesday,"Feb 16, 2022",Nawam Full Moon Poya Day
Thursday,"Mar 17, 2022",Madin Full Moon Poya Day
Wednesday,"Apr 13, 2022",Day prior to Sinhala & Tamil New Year Day
Thursday,"Apr 14, 2022",Sinhala and Tamil New Year Day
Saturday,"Apr 16, 2022",Bak Full Moon Poya Day
Sunday,"May 01, 2022",May Day
Sunday,"May 15, 2022",Vesak Full Moon Poya Day
Monday,"May 16, 2022",Day following Vesak Full Moon Poya Day
Tuesday,"Jun 14, 2022",Poson Full Moon Poya Day
Wednesday,"Jul 13, 2022",Esala Full Moon Poya Day
Thursday,"Aug 11, 2022",Nikini Full Moon Poya Day
Friday,"Sep 09, 2022",Binara Full Moon Poya Day
Sunday,"Oct 09, 2022",Milad-un-Nabi
Sunday,"Oct 09, 2022",Vap Full Moon Poya Day
Tuesday,"Nov 08, 2022",Ill Full Moon Poya Day
Wednesday,"Dec 07, 2022",Unduvap Full Moon Poya Day
Sunday,"Dec 25, 2022",Christmas
Friday,"Jan 06, 2023",Duruthu Full Moon Poya Day
Sunday,"Jan 15, 2023",Tamil Thai Pongal Day
Saturday,"Feb 04, 2023",National Day
Sunday,"Feb 05, 2023",Nawam Full Moon Poya Day
Tuesday,"Mar 07, 2023",Madin Full Moon Poya Day
Wednesday,"Apr 05, 2023",Bak Full Moon Poya Day
Thursday,"Apr 13, 2023",Day prior to Sinhala & Tamil New Year Day
Friday,"Apr 14, 2023",Sinhala and Tamil New Year Day
Monday,"May 01, 2023",May Day
Friday,"May 05, 2023",Vesak Full Moon Poya Day
Saturday,"May 06, 2023",Day following Vesak Full Moon Poya Day
Saturday,"Jun 03, 2023",Poson Full Moon Poya Day
Monday,"Jul 03, 2023",Esala Full Moon Poya Day
Tuesday,"Aug 01, 2023",Nikini Full Moon Poya Day
Thursday,"Sep 28, 2023",Binara Full Moon Poya Day
Thursday,"Sep 28, 2023",Milad-un-Nabi
Saturday,"Oct 28, 2023",Vap Full Moon Poya Day
Sunday,"Nov 26, 2023",Ill Full Moon Poya Day
Monday,"Dec 25, 2023",Christmas
Tuesday,"Dec 26, 2023",Unduvap Full Moon Poya Day
Monday,"Jan 15, 2024",Tamil Thai Pongal Day
Thursday,"Jan 25, 2024",Duruthu Full Moon Poya Day
Sunday,"Feb 04, 2024",National Day
Saturday,"Feb 24, 2024",Nawam Full Moon Poya Day
Sunday,"Mar 24, 2024",Madin Full Moon Poya Day
Friday,"Apr 12, 2024",Sinhala and Tamil New Year Day
Saturday,"Apr 13, 2024",Day prior to Sinhala & Tamil New Year Day
Tuesday,"Apr 23, 2024",Bak Full Moon Poya Day
Wednesday,"May 01, 2024",May Day
Thursday,"May 23, 2024",Vesak Full Moon Poya Day
Friday,"May 24, 2024",Day following Vesak Full Moon Poya Day
Friday,"Jun 21, 2024",Poson Full Moon Poya Day
Saturday,"Jul 20, 2024",Esala Full Moon Poya Day
Monday,"Aug 19, 2024",Nikini Full Moon Poya Day
Monday,"Sep 16, 2024",Milad-un-Nabi
Tuesday,"Sep 17, 2024",Binara Full Moon Poya Day
Thursday,"Oct 17, 2024",Vap Full Moon Poya Day
Friday,"Nov 15, 2024",Ill Full Moon Poya Day
Saturday,"Dec 14, 2024",Unduvap Full Moon Poya Day
Wednesday,"Dec 25, 2024",Christmas
Monday,"Jan 13, 2025",Duruthu Full Moon Poya Day
Tuesday,"Jan 14, 2025",Tamil Thai Pongal Day
Tuesday,"Feb 04, 2025",National Day
Wednesday,"Feb 12, 2025",Nawam Full Moon Poya Day
Thursday,"Mar 13, 2025",Madin Full Moon Poya Day
Saturday,"Apr 12, 2025",Bak Full Moon Poya Day
Sunday,"Apr 13, 2025",Day prior to Sinhala & Tamil New Year Day
Monday,"Apr 14, 2025",Sinhala and Tamil New Year Day
Thursday,"May 01, 2025",May Day
Monday,"May 12, 2025",Vesak Full Moon Poya Day
Tuesday,"May 13, 2025",Day following Vesak Full Moon Poya Day
Tuesday,"Jun 10, 2025",Poson Full Moon Poya Day
Thursday,"Jul 10, 2025",Esala Full Moon Poya Day
Friday,"Aug 08, 2025",Nikini Full Moon Poya Day
Friday,"Sep 05, 2025",Milad-un-Nabi
Sunday,"Sep 07, 2025",Binara Full Moon Poya Day
Monday,"Oct 06, 2025",Vap Full Moon Poya Day
Wednesday,"Nov 05, 2025",Ill Full Moon Poya Day
Thursday,"Dec 04, 2025",Unduvap Full Moon Poya Day
Thursday,"Dec 25, 2025",Christmas
